591,498,610
589,498,610
588,498,609
588,498,608
587,499,605
587,500,605
588,501,604
591,500,608
594,500,613
595,499,611
591,500,607
589,500,605
588,500,607
588,500,606
588,502,612
588,501,614
592,500,609
593,499,604
597,500,604
592,500,604
589,497,607
588,501,610
588,500,611
587,501,604
588,499,604
591,499,604
594,499,604
595,500,610
589,499,613
588,501,610
587,501,604
588,502,604
586,502,604
589,501,606
590,501,611
594,501,613
595,502,605
592,503,603
588,504,603
588,503,603
588,502,607
588,503,611
589,502,611
591,502,604
594,501,604
596,502,604
589,504,605
589,504,609
587,500,613
587,501,607
586,502,604
587,501,604
589,501,604
594,502,608
595,503,610
590,503,613
588,501,608
589,502,607
587,502,609
587,502,609
589,501,615
590,503,615
595,505,615
597,505,609
590,503,610
589,503,611
589,503,616
588,503,620
589,502,618
589,504,612
592,504,612
595,505,612
596,503,617
591,502,620
590,502,617
590,501,613
587,502,611
590,502,613
591,504,613
593,504,619
595,502,620
598,501,615
591,502,613
590,502,613
590,500,615
590,504,617
589,504,622
589,504,618
592,503,612
596,503,611
597,501,609
591,503,614
590,502,617
589,504,615
589,505,609
589,504,609
590,503,608
593,502,612
597,501,616
595,503,612
593,501,608
590,504,605
590,505,604
590,503,604
588,502,607
591,501,608
592,502,603
594,501,601
597,502,601
592,503,599
591,505,604
590,504,609
590,502,609
591,501,603
592,502,603
594,502,603
595,502,604
597,504,609
593,504,614
593,504,609
591,502,606
592,503,607
592,503,605
594,502,608
595,502,615
597,504,614
598,504,608
594,504,606
593,502,607
592,503,608
592,502,612
592,502,617
595,502,613
597,505,607
598,505,607
598,504,606
595,502,608
594,502,612
593,501,614
593,502,607
592,503,605
594,505,604
598,505,604
598,504,609
596,503,613
594,502,611
594,504,608
593,503,608
592,504,609
593,505,613
595,505,616
598,505,615
597,503,608
597,504,609
593,503,610
594,503,611
592,504,617
592,506,615
594,505,614
595,504,611
597,503,611
597,503,612
595,503,618
594,501,620
593,504,617
593,505,611
592,505,611
594,505,610
595,502,616
600,504,619
598,504,617
596,502,612
594,504,612
594,505,612
593,505,612
592,504,617
594,504,619
596,503,613
600,504,609
600,503,611
595,505,610
594,505,614
593,505,619
594,504,616
592,502,613
595,504,610
597,503,608
598,502,613
600,505,615
596,505,613
595,504,607
595,503,606
594,503,605
593,503,605
596,503,609
597,503,611
599,505,605
601,505,601
595,505,602
595,504,599
595,504,601
595,503,604
594,505,604
595,504,597
598,505,595
599,506,595
599,507,593
597,505,600
